"Year";"Quarter";"Month";"DayofMonth";"DayOfWeek";"FlightDate";"UniqueCarrier";"AirlineID";"Carrier";"TailNum";"FlightNum";"OriginAirportID";"OriginAirportSeqID";"OriginCityMarketID";"Origin";"OriginCityName";"OriginState";"OriginStateFips";"OriginStateName";"OriginWac";"DestAirportID";"DestAirportSeqID";"DestCityMarketID";"Dest";"DestCityName";"DestState";"DestStateFips";"DestStateName";"DestWac";"CRSDepTime";"DepTime";"DepDelay";"DepDelayMinutes";"DepDel15";"DepartureDelayGroups";"DepTimeBlk";"TaxiOut";"WheelsOff";"WheelsOn";"TaxiIn";"CRSArrTime";"ArrTime";"ArrDelay";"ArrDelayMinutes";"ArrDel15";"ArrivalDelayGroups";"ArrTimeBlk";"Cancelled";"CancellationCode";"Diverted";"CRSElapsedTime";"ActualElapsedTime";"AirTime";"Flights";"Distance";"DistanceGroup";"CarrierDelay";"WeatherDelay";"NASDelay";"SecurityDelay";"LateAircraftDelay";"FirstDepTime";"TotalAddGTime";"LongestAddGTime";"DivAirportLandings";"DivReachedDest";"DivActualElapsedTime";"DivArrDelay";"DivDistance";"Div1Airport";"Div1AirportID";"Div1AirportSeqID";"Div1WheelsOn";"Div1TotalGTime";"Div1LongestGTime";"Div1WheelsOff";"Div1TailNum";"Div2Airport";"Div2AirportID";"Div2AirportSeqID";"Div2WheelsOn";"Div2TotalGTime";"Div2LongestGTime";"Div2WheelsOff";"Div2TailNum";"Div3Airport";"Div3AirportID";"Div3AirportSeqID";"Div3WheelsOn";"Div3TotalGTime";"Div3LongestGTime";"Div3WheelsOff";"Div3TailNum";"Div4Airport";"Div4AirportID";"Div4AirportSeqID";"Div4WheelsOn";"Div4TotalGTime";"Div4LongestGTime";"Div4WheelsOff";"Div4TailNum";"Div5Airport";"Div5AirportID";"Div5AirportSeqID";"Div5WheelsOn";"Div5TotalGTime";"Div5LongestGTime";"Div5WheelsOff";"Div5TailNum"
"2012";"4";"12";"20";"4";"2012-12-20";"MQ";"20398";"MQ";"N631MQ";"4285";"10821";"1082103";"30852";"BWI";"Baltimore, MD";"MD";"24";"Maryland";"35";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0601";"1.00";"1.00";"0.00";"0";"0600-0659";"14.00";"0615";"0709";"8.00";"0725";"0717";"-8.00";"0.00";"0.00";"-1";"0700-0759";"0.00";"";"0.00";"145.00";"136.00";"114.00";"1.00";"622.00";"3";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"21";"5";"2012-12-21";"MQ";"20398";"MQ";"N679MQ";"4285";"10821";"1082103";"30852";"BWI";"Baltimore, MD";"MD";"24";"Maryland";"35";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0557";"-3.00";"0.00";"0.00";"-1";"0600-0659";"14.00";"0611";"0705";"12.00";"0725";"0717";"-8.00";"0.00";"0.00";"-1";"0700-0759";"0.00";"";"0.00";"145.00";"140.00";"114.00";"1.00";"622.00";"3";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"22";"6";"2012-12-22";"MQ";"20398";"MQ";"N942MQ";"4285";"10821";"1082103";"30852";"BWI";"Baltimore, MD";"MD";"24";"Maryland";"35";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0603";"3.00";"3.00";"0.00";"0";"0600-0659";"14.00";"0617";"0705";"7.00";"0725";"0712";"-13.00";"0.00";"0.00";"-1";"0700-0759";"0.00";"";"0.00";"145.00";"129.00";"108.00";"1.00";"622.00";"3";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"26";"3";"2012-12-26";"MQ";"20398";"MQ";"N617MQ";"4285";"10821";"1082103";"30852";"BWI";"Baltimore, MD";"MD";"24";"Maryland";"35";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"";"";"";"";"";"0600-0659";"";"";"";"";"0725";"";"";"";"";"";"0700-0759";"1.00";"A";"0.00";"145.00";"";"";"1.00";"622.00";"3";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"27";"4";"2012-12-27";"MQ";"20398";"MQ";"N673MQ";"4285";"10821";"1082103";"30852";"BWI";"Baltimore, MD";"MD";"24";"Maryland";"35";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0555";"-5.00";"0.00";"0.00";"-1";"0600-0659";"18.00";"0613";"0656";"6.00";"0725";"0702";"-23.00";"0.00";"0.00";"-2";"0700-0759";"0.00";"";"0.00";"145.00";"127.00";"103.00";"1.00";"622.00";"3";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"28";"5";"2012-12-28";"MQ";"20398";"MQ";"N660MQ";"4285";"10821";"1082103";"30852";"BWI";"Baltimore, MD";"MD";"24";"Maryland";"35";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0555";"-5.00";"0.00";"0.00";"-1";"0600-0659";"19.00";"0614";"0706";"6.00";"0725";"0712";"-13.00";"0.00";"0.00";"-1";"0700-0759";"0.00";"";"0.00";"145.00";"137.00";"112.00";"1.00";"622.00";"3";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"29";"6";"2012-12-29";"MQ";"20398";"MQ";"N653MQ";"4285";"10821";"1082103";"30852";"BWI";"Baltimore, MD";"MD";"24";"Maryland";"35";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0558";"-2.00";"0.00";"0.00";"-1";"0600-0659";"17.00";"0615";"0657";"7.00";"0725";"0704";"-21.00";"0.00";"0.00";"-2";"0700-0759";"0.00";"";"0.00";"145.00";"126.00";"102.00";"1.00";"622.00";"3";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"1";"6";"2012-12-01";"MQ";"20398";"MQ";"N695MQ";"4286";"11042";"1104202";"30647";"CLE";"Cleveland, OH";"OH";"39";"Ohio";"44";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0628";"28.00";"28.00";"1.00";"1";"0600-0659";"48.00";"0716";"0712";"8.00";"0625";"0720";"55.00";"55.00";"1.00";"3";"0600-0659";"0.00";"";"0.00";"85.00";"112.00";"56.00";"1.00";"315.00";"2";"0.00";"28.00";"27.00";"0.00";"0.00";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"3";"1";"2012-12-03";"MQ";"20398";"MQ";"N932MQ";"4286";"11042";"1104202";"30647";"CLE";"Cleveland, OH";"OH";"39";"Ohio";"44";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0720";"80.00";"80.00";"1.00";"5";"0600-0659";"8.00";"0728";"0731";"6.00";"0625";"0737";"72.00";"72.00";"1.00";"4";"0600-0659";"0.00";"";"0.00";"85.00";"77.00";"63.00";"1.00";"315.00";"2";"0.00";"72.00";"0.00";"0.00";"0.00";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"4";"2";"2012-12-04";"MQ";"20398";"MQ";"N603MQ";"4286";"11042";"1104202";"30647";"CLE";"Cleveland, OH";"OH";"39";"Ohio";"44";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0555";"-5.00";"0.00";"0.00";"-1";"0600-0659";"13.00";"0608";"0604";"7.00";"0625";"0611";"-14.00";"0.00";"0.00";"-1";"0600-0659";"0.00";"";"0.00";"85.00";"76.00";"56.00";"1.00";"315.00";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"5";"3";"2012-12-05";"MQ";"20398";"MQ";"N827MQ";"4286";"11042";"1104202";"30647";"CLE";"Cleveland, OH";"OH";"39";"Ohio";"44";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0548";"-12.00";"0.00";"0.00";"-1";"0600-0659";"9.00";"0557";"0557";"6.00";"0625";"0603";"-22.00";"0.00";"0.00";"-2";"0600-0659";"0.00";"";"0.00";"85.00";"75.00";"60.00";"1.00";"315.00";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"6";"4";"2012-12-06";"MQ";"20398";"MQ";"N632MQ";"4286";"11042";"1104202";"30647";"CLE";"Cleveland, OH";"OH";"39";"Ohio";"44";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0549";"-11.00";"0.00";"0.00";"-1";"0600-0659";"22.00";"0611";"0606";"6.00";"0625";"0612";"-13.00";"0.00";"0.00";"-1";"0600-0659";"0.00";"";"0.00";"85.00";"83.00";"55.00";"1.00";"315.00";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"4";"12";"7";"5";"2012-12-07";"MQ";"20398";"MQ";"N618MQ";"4286";"11042";"1104202";"30647";"CLE";"Cleveland, OH";"OH";"39";"Ohio";"44";"13930";"1393002";"30977";"ORD";"Chicago, IL";"IL";"17";"Illinois";"41";"0600";"0550";"-10.00";"0.00";"0.00";"-1";"0600-0659";"39.00";"0629";"0624";"8.00";"0625";"0632";"7.00";"7.00";"0.00";"0";"0600-0659";"0.00";"";"0.00";"85.00";"102.00";"55.00";"1.00";"315.00";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
